,Movie Name,Initial Release,Director,Stars
0,The Godfather ,1972,Francis Ford Coppola ,"Marlon Brando, Al Pacino, James Caan, Diane Keaton"
1,Schindler's List ,1993,Steven Spielberg ,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
2,12 Angry Men ,1957,Sidney Lumet ,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
3,Life Is Beautiful ,1997,Roberto Benigni ,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
4,"The Good, the Bad and the Ugly ",1966,Sergio Leone ,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
5,The Shawshank Redemption ,1994,Frank Darabont ,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
6,The Pursuit of Happyness ,2006,Gabriele Muccino ,"Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe"
7,Seven Samurai ,1954,Akira Kurosawa ,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
8,The Intouchables ,2011,"Olivier Nakache, Éric Toledano ","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
9, Central Station ,1998,Walter Salles ,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira"
10, Requiem for a Dream ,2000,Darren Aronofsky ,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
11, A Beautiful Mind ,2001,Ron Howard ,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
12, Hachi: A Dog's Tale ,2009,Lasse Hallström ,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
13, Taken ,2008,Pierre Morel ,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
14, My Sassy Girl ,2001,Jae-young Kwak ,"Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim, Song Wok-suk"
15, Amores perros ,2000,Alejandro G. Iñárritu ,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero"
16, The Shining ,1980,Stanley Kubrick ,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
17, Apocalypto ,2006,Mel Gibson ,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood"
18, Gladiator ,2000,Ridley Scott ,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
19, Cast Away ,2000,Robert Zemeckis ,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White"
20, The Dark Knight ,2008,Christopher Nolan ,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
21, The Pianist ,2002,Roman Polanski ,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
22, Titanic ,1997,James Cameron ,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
23, 3-Iron ,2004,Kim Ki-duk ,"Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon, Jin-mo Joo"
24, Braveheart ,1995,Mel Gibson ,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
25, It's a Wonderful Life ,1946,Frank Capra ,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
26," Spring, Summer, Fall, Winter... and Spring ",2003,Kim Ki-duk ,"Kim Ki-duk, Oh Yeong-su, Jong-ho Kim, Kim Young-min"
27, Alien ,1979,Ridley Scott ,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
28, Memories of Murder ,2003,Bong Joon Ho ,"Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song"
29, The Return ,2003,Andrey Zvyagintsev ,"Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina"
30, I Saw the Devil ,2010,Jee-woon Kim ,"Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun"
31, Children of Heaven ,1997,Majid Majidi ,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
32, A Separation ,2011,Asghar Farhadi ,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
33, The Sixth Sense ,1999,M. Night Shyamalan ,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"
34, A Moment to Remember ,2004,John H. Lee ,"Jung Woo-sung, Son Ye-jin, Jong-hak Baek, Seon-jin Lee"
35, Departures ,2008,Yôjirô Takita ,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki"
36, The Road Home ,1999,Yimou Zhang ,"Ziyi Zhang, Honglei Sun, Hao Zheng, Yulian Zhao"
37, Saving Private Ryan ,1998,Steven Spielberg ,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
38, The Bridge on the River Kwai ,1957,David Lean ,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
39, Ben-Hur ,1959,William Wyler ,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet"
40, The Exorcist ,1973,William Friedkin ,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
41, The Secret in Their Eyes ,2009,Juan José Campanella ,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo"
42, Léon: The Professional ,1994,Luc Besson ,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
43, The Green Mile ,1999,Frank Darabont ,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
44, Gran Torino ,2008,Clint Eastwood ,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her"
45, Kill Bill: Vol. 1 ,2003,Quentin Tarantino ,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
